"title","description","status","due_date"
"ایمیل به مشتری","ارسال ایمیل پیگیری به مشتریان کلیدی","close","25/9/2025"
"جلسه تیم توسعه","هماهنگی کارهای هفته آینده","close","25/9/2025"
"ارسال فاکتور","ارسال فاکتور به واحد حسابداری","close","25/9/2025"
"خرید میوه","رفتن به بازار برای خرید میوه تازه","close","25/9/2025"
"پرداخت قبض برق","پرداخت آنلاین قبض برق منزل","close","25/9/2025"
"خرید لباس","خرید پیراهن برای مهمانی","close","25/9/2025"
"تماشای فیلم","دیدن فیلم آخر هفته","close","25/9/2025"
"تمرین برنامه‌نویسی","نوشتن تمرین پایتون","close","25/9/2025"
"جلسه با مدیر","شرکت در جلسه هفتگی با مدیرعامل","open","26/9/2025"
"طراحی پوستر تبلیغاتی","تهیه طرح گرافیکی برای کمپین جدید","open","26/9/2025"
"آماده‌سازی ارائه","تهیه اسلاید برای ارائه هفتگی","open","26/9/2025"
"ورزش صبحگاهی","یک ساعت دویدن در پارک","open","26/9/2025"
"دیدار با خانواده","رفتن به منزل پدر و مادر","open","26/9/2025"
"نظافت خانه","جاروبرقی و مرتب کردن اتاق‌ها","open","26/9/2025"
"مطالعه کتاب","خواندن ۳۰ صفحه از کتاب جدید","open","26/9/2025"
"مطالعه برای امتحان شبکه","مرور جزوات شبکه کامپیوتری","open","26/9/2025"
"تحویل مقاله","ارسال مقاله پایان‌ترم","open","26/9/2025"
"تحویل گزارش مالی","آماده‌سازی و ارسال گزارش مالی ماهانه","doing","21/9/2025"
"بررسی قرارداد","مطالعه و بررسی قرارداد جدید همکاری","doing","21/9/2025"
"رفع باگ نرم‌افزار","رسیدگی به مشکلات گزارش‌شده کاربران","doing","21/9/2025"
"آپدیت وبسایت","به‌روزرسانی بخش اخبار سایت","doing","21/9/2025"
"قرار با دندانپزشک","ویزیت دندانپزشک","doing","21/9/2025"
"پیاده‌روی عصرگاهی","یک ساعت پیاده‌روی آرام","doing","21/9/2025"
"تحویل پروژه پایگاه داده","ارائه پروژه پایگاه داده","doing","21/9/2025"
"حضور در کلاس هوش مصنوعی","شرکت در کلاس آنلاین","doing","21/9/2025"
"تمرین ریاضی","حل تمرینات مبحث آمار","doing","21/9/2025"
"مطالعه کتابخانه دیجیتال","خواندن منابع پژوهشی","open","26/9/2025"
"یادداشت‌برداری","مرور یادداشت‌های کلاس","open","26/9/2025"
"خرید لپ‌تاپ","جستجو و خرید لپ‌تاپ جدید","open","26/9/2025"
"تهیه هدیه","خرید هدیه برای تولد دوست","open","26/9/2025"
"خرید بلیت سفر","رزرو بلیت اتوبوس","open","26/9/2025"
"خرید گلدان","تهیه گلدان برای خانه","open","23/9/2025"
"مرور جزوه","خواندن جزوات ترم گذشته","open","23/9/2025"
"مطالعه روزنامه","مرور اخبار اقتصادی","open","23/9/2025"
"مطالعه مقاله علمی","خواندن مقاله ژورنال معتبر","open","23/9/2025"
"ثبت‌نام کارگاه","ثبت‌نام در کارگاه مهندسی نرم‌افزار","doing","21/9/2025"
"سفارش اینترنتی کتاب","سفارش چند کتاب آنلاین","doing","21/9/2025"
"خرید لوازم آشپزخانه","تهیه قابلمه و ماهیتابه","doing","21/9/2025"
"سفارش آنلاین غذا","سفارش ناهار از رستوران","doing","21/9/2025"
"ثبت‌نام کلاس زبان","ثبت‌نام در ترم جدید زبان انگلیسی","doing","21/9/2025"
"یادگیری ابزار جدید","کار با نرم‌افزار جدید","doing","21/9/2025"
"تمرین نوشتن","نوشتن یک یادداشت روزانه","doing","21/9/2025"
"پروژه گروهی","جلسه با تیم برای پروژه","close","25/9/2025"
"خرید کفش ورزشی","رفتن به فروشگاه کفش","close","25/9/2025"
"خرید موبایل","جستجو برای گوشی جدید","close","25/9/2025"
"تمرین ترجمه","ترجمه متن انگلیسی","close","25/9/2025"
"مطالعه رمان","خواندن یک فصل از رمان","close","25/9/2025"
